Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Gold Coast,"Coombabah, Coombabah Creek",-27.8883,153.3812,16-Nov-18,TRUE,0,0,0,0,0,33,543
Gold Coast,"Labrador, Government Rd",-27.94808,153.397261,16-Nov-18,FALSE,16,0,0,0,16,195,544
Gold Coast,"Helensvale, Lillypilly Court",-27.894778,153.318344,16-Nov-18,FALSE,8,14,0,0,22,231,714
Gold Coast,"Helensvale, Lillypilly Court",-27.894778,153.318344,16-Nov-18,TRUE,0,0,0,0,0,231,714
Logan,Mount Warren Park - Yvonne Cr.,-27.736966,153.198338,16-Nov-18,FALSE,520,780,0,0,1300,96,401
Gold Coast,"Miami, Chairlift Avenue",-28.060371,153.439361,16-Nov-18,FALSE,31,0,0,0,31,300,
Gold Coast,"Robina, Palmer Gold Coast Golf Course",-28.073239,153.400072,16-Nov-18,TRUE,0,0,0,0,0,302,
Gold Coast,"Runaway Bay, Godlonton Reserve",-27.922301,153.398041,16-Nov-18,FALSE,65,0,0,0,65,218,592
Gold Coast,"Southport, Akes Avenue,",-27.9797,153.4136,16-Nov-18,FALSE,42,0,0,0,42,140,137
Gold Coast,Southport Golf Club,-27.9951,153.4134,16-Nov-18,FALSE,9,0,0,0,9,139,545
Gold Coast,"Southport, Loders Creek",-27.9581,153.4033,16-Nov-18,FALSE,60,5,0,0,65,141,445
Scenic Rim,Tamborine NP (Joalah Sec),-27.9237,153.1935,16-Nov-18,FALSE,0,3300,0,0,3300,150,455
Rockhampton,Kabra,-23.471698,150.396872,16-Nov-18,FALSE,1900,0,0,0,1900,256,362
Somerset,"Kilcoy, Kilcoy Creek (Anzac Park)",-26.941497,152.568748,16-Nov-18,FALSE,800,50,0,0,850,200,368
Lockyer Valley,"Laidley, Laidley Plainlands Road",-27.620558,152.394769,23-Nov-18,FALSE,1480,740,1480,0,3700,76,372
Sunshine Coast,"Maleny, Mary Cairncross Scenic Reserve",-26.777548,152.881103,22-Nov-18,FALSE,300,0,0,0,300,356,
Banana,"Westwood, Capricornia Highway",-23.62135,150.15571,16-Nov-18,FALSE,600,0,0,0,600,255,754
Moreton Bay,Woodford,-26.95031,152.7763,16-Nov-18,FALSE,2000,1500,0,0,3500,173,192
Brisbane,"Coopers Plains, Beryl Roberts Park, Barham St",-27.567531,153.043448,17-Nov-18,FALSE,0,0,0,0,0,247,745
Sunshine Coast,"Palmview, Glenview Road",-26.757688,153.045879,15-Nov-18,FALSE,190,40,0,0,230,369,
Brisbane,"East Brisbane, Norman Creek (Heath Park/Giffin Par",-27.484127,153.051947,18-Nov-18,FALSE,189,0,0,0,189,43,159
Brisbane,"The Gap, Waterworks Road",-27.447086,152.95105,18-Nov-18,FALSE,50,0,0,0,50,242,780
Central Highlands Regional,Emerald Botanic Gardens Rainforest,-23.53685,148.16648,30-Nov-18,FALSE,0,0,3000,0,3000,371,
Gladstone,Calliope,-24.00123,151.19309,22-Nov-18,FALSE,980,0,370,0,1350,262,
Gladstone,Boyne Island,-23.943197,151.354066,13-Nov-18,FALSE,4700,0,0,0,4700,278,290
Gladstone,Miriam Vale,-24.3262,151.5547,13-Nov-18,FALSE,1220,0,200,0,1420,264,
Central Highlands Regional,Emerald Botanic Gardens Rainforest,-23.53685,148.16648,21-Dec-18,FALSE,0,0,2500,0,2500,371,
Sunshine Coast,Cooran - Yellow Belly Reserve,-26.3375,152.8264,19-Nov-18,FALSE,930,620,0,0,1550,34,324
Sunshine Coast,Cooran - Yellow Belly Reserve,-26.3375,152.8264,9-Nov-18,FALSE,340,1360,0,0,1700,34,324
Noosa,"Noosaville, Wallace Drive",-26.400669,153.049086,8-Nov-18,FALSE,1680,1120,0,0,2800,245,781
Fraser Coast,Glenwood Varley Road,-25.9274,152.6259,15-Nov-18,FALSE,1200,300,0,0,1500,53,349
Gympie,"Goomboorian, Anderleigh Rd Ginger Creek",-26.04852,152.77799,17-Nov-18,FALSE,6600,4400,0,0,11000,55,350
Gympie,"Kandanga, Hyne Estate Rd",-26.4048,152.7044,16-Nov-18,FALSE,1850,1850,1906,0,5607,70,164
Gympie,"Gympie Township, Widgee Crossing",-26.1822,152.6384,15-Nov-18,FALSE,4000,1000,0,0,5000,59,161
Sunshine Coast,Andrea Ahern Bushland Park,-26.783841,153.127408,15-Nov-18,TRUE,0,0,0,0,0,375,
